GT,MTurk_Label,dataset,image,x,y
0,0,C_M1_T1_4,img_0.jpg,485.4918212890625,256.2578430175781
0,0,C_M1_T1_4,img_45.jpg,465.9356384277344,266.6451110839844
1,0,C_M1_T1_4,img_90.jpg,431.01123046875,292.1478881835937
1,1,C_M1_T1_4,img_135.jpg,437.2000427246094,238.63137817382807
0,0,C_M1_T1_4,img_180.jpg,482.76666259765625,242.4747772216797
1,1,C_M1_T1_4,img_225.jpg,485.35443115234375,225.2117462158203
1,1,C_M1_T1_4,img_270.jpg,468.6847229003906,236.42308044433597
1,1,C_M1_T1_4,img_315.jpg,482.2385864257813,233.85340881347656
1,1,C_M1_T1_4,img_360.jpg,485.9161071777344,236.37521362304688
1,1,C_M1_T1_4,img_405.jpg,481.78521728515625,239.05252075195312
1,1,C_M1_T1_4,img_450.jpg,435.95111083984375,292.9492492675781
1,1,C_M1_T1_4,img_495.jpg,484.7051086425781,220.37789916992188
0,0,C_M1_T1_4,img_540.jpg,483.2613525390625,187.80860900878903
1,1,C_M1_T1_4,img_585.jpg,463.1343688964844,300.09881591796875
1,1,C_M1_T1_4,img_630.jpg,494.1445007324219,242.31272888183597
0,0,C_M1_T1_4,img_675.jpg,469.9776611328125,198.62271118164065
0,0,C_M1_T1_4,img_720.jpg,448.0426635742188,242.47288513183597
1,1,C_M1_T1_4,img_765.jpg,447.831787109375,246.5823211669922
0,0,C_M1_T1_4,img_810.jpg,469.9989013671875,243.598388671875
1,1,C_M1_T1_4,img_855.jpg,472.3028869628906,250.0107879638672
1,1,C_M1_T1_4,img_900.jpg,453.4902038574219,217.16702270507807
1,1,C_M1_T1_4,img_945.jpg,473.5753479003906,227.1393280029297
1,1,C_M1_T1_4,img_990.jpg,433.64202880859375,294.1313171386719
1,1,C_M1_T1_4,img_1035.jpg,459.2539367675781,262.24578857421875
1,1,C_M1_T1_4,img_1080.jpg,512.1488647460938,225.12278747558597
1,1,C_M1_T1_4,img_1125.jpg,484.4045104980469,305.8715515136719
1,1,C_M1_T1_4,img_1170.jpg,478.7749938964844,264.6458740234375
1,1,C_M1_T1_4,img_1215.jpg,472.1217041015625,262.9506530761719
0,0,C_M1_T1_4,img_1260.jpg,500.7469787597656,227.08218383789065
1,1,C_M1_T1_4,img_1305.jpg,474.9263000488281,308.89129638671875
1,1,C_M1_T1_4,img_1350.jpg,515.0855712890625,233.5731201171875
1,1,C_M1_T1_4,img_1395.jpg,477.9498291015625,213.39491271972656
1,1,C_M1_T1_4,img_1440.jpg,516.8644409179688,267.2390441894531
1,1,C_M1_T1_4,img_1485.jpg,466.8177185058594,216.37879943847656
1,1,C_M1_T1_4,img_1530.jpg,489.9137573242188,216.3493194580078
0,0,C_M1_T1_4,img_1575.jpg,513.6152954101562,242.3604278564453
1,1,C_M1_T1_4,img_1620.jpg,516.6212768554688,231.84518432617188
1,1,C_M1_T1_4,img_1665.jpg,515.0382080078125,236.67300415039065
1,1,C_M1_T1_4,img_1710.jpg,477.23876953125,309.55975341796875
1,1,C_M1_T1_4,img_1755.jpg,480.8209838867188,270.6768798828125
1,1,C_M1_T1_4,img_1800.jpg,443.94049072265625,287.699951171875
1,1,C_M1_T1_4,img_1845.jpg,431.0077819824219,268.9055480957031
1,1,C_M1_T1_4,img_1890.jpg,423.16998291015625,243.55198669433597
0,0,C_M1_T1_4,img_1935.jpg,477.78851318359375,242.9082946777344
0,0,C_M1_T1_4,img_1980.jpg,473.9697570800781,231.74053955078125
0,0,C_M1_T1_4,img_2025.jpg,451.87841796875,241.46578979492188
0,0,C_M1_T1_4,img_2070.jpg,480.6842651367188,226.1484222412109
1,1,C_M1_T1_4,img_2115.jpg,551.4729614257812,241.34580993652344
1,1,C_M1_T1_4,img_2160.jpg,451.8052673339844,264.6568603515625
1,1,C_M1_T1_4,img_2205.jpg,482.1181335449219,271.8953857421875
0,0,C_M1_T1_4,img_2250.jpg,484.4998779296875,233.8067779541016
1,1,C_M1_T1_4,img_2295.jpg,500.2786560058594,267.2127990722656
1,1,C_M1_T1_4,img_2340.jpg,494.5576477050781,256.5876159667969
1,1,C_M1_T1_4,img_2385.jpg,472.7263488769531,256.66534423828125
1,1,C_M1_T1_4,img_2430.jpg,470.4938354492188,290.718505859375
1,0,C_M1_T1_4,img_2475.jpg,461.74322509765625,243.12954711914065
1,1,C_M1_T1_4,img_2520.jpg,538.054931640625,267.7208251953125
1,1,C_M1_T1_4,img_2565.jpg,438.6375122070313,280.1627197265625
1,1,C_M1_T1_4,img_2610.jpg,506.6301879882813,245.6681365966797
1,1,C_M1_T1_4,img_2655.jpg,457.5719299316406,292.6697998046875
0,0,C_M1_T1_4,img_2700.jpg,469.4414367675781,209.7748565673828
1,1,C_M1_T1_4,img_2745.jpg,478.78228759765625,300.7541809082031
1,1,C_M1_T1_4,img_2790.jpg,482.8249206542969,238.9467010498047
1,1,C_M1_T1_4,img_2835.jpg,491.0357055664063,238.62554931640625
1,1,C_M1_T1_4,img_2880.jpg,503.0750122070313,272.1464538574219
0,0,C_M1_T1_4,img_2925.jpg,501.8332214355469,241.01104736328125
1,1,C_M1_T1_4,img_2970.jpg,489.63665771484375,294.6488342285156
0,0,C_M1_T1_7,img_0.jpg,487.6212158203125,249.16702270507807
1,1,C_M1_T1_7,img_45.jpg,483.7730407714844,261.1504211425781
1,1,C_M1_T1_7,img_90.jpg,491.2386779785156,267.716064453125
1,1,C_M1_T1_7,img_135.jpg,510.8431701660156,311.17401123046875
1,1,C_M1_T1_7,img_180.jpg,430.6134643554688,264.8641662597656
1,1,C_M1_T1_7,img_225.jpg,391.9081115722656,298.7373046875
1,1,C_M1_T1_7,img_270.jpg,473.7136535644531,275.90093994140625
1,1,C_M1_T1_7,img_315.jpg,474.6481628417969,208.3388519287109
1,1,C_M1_T1_7,img_360.jpg,468.6578063964844,217.2134552001953
1,1,C_M1_T1_7,img_405.jpg,487.768798828125,194.37591552734372
0,0,C_M1_T1_7,img_450.jpg,541.338134765625,268.7840270996094
1,1,C_M1_T1_7,img_495.jpg,533.93115234375,200.8775177001953
1,1,C_M1_T1_7,img_540.jpg,565.5425415039062,230.9876251220703
1,1,C_M1_T1_7,img_585.jpg,527.6809692382812,196.81793212890625
1,1,C_M1_T1_7,img_630.jpg,537.0234375,269.2635192871094
1,1,C_M1_T1_7,img_675.jpg,442.1151428222656,266.4888916015625
1,1,C_M1_T1_7,img_720.jpg,451.2546691894531,225.8117828369141
1,1,C_M1_T1_7,img_765.jpg,449.9642333984375,211.1077117919922
1,1,C_M1_T1_7,img_810.jpg,469.8805847167969,240.59278869628903
1,1,C_M1_T1_7,img_855.jpg,499.3973388671875,253.7244110107422
1,1,C_M1_T1_7,img_900.jpg,480.3495788574219,215.2307891845703
1,1,C_M1_T1_7,img_945.jpg,486.88763427734375,176.3147430419922
1,1,C_M1_T1_7,img_990.jpg,430.9163208007813,211.91448974609372
1,1,C_M1_T1_7,img_1035.jpg,515.20654296875,213.6920318603516
1,1,C_M1_T1_7,img_1080.jpg,462.0812377929688,226.0777740478516
1,1,C_M1_T1_7,img_1125.jpg,439.87249755859375,177.43411254882812
1,1,C_M1_T1_7,img_1170.jpg,476.7840576171875,153.30360412597656
1,1,C_M1_T1_7,img_1215.jpg,496.3033752441406,225.0917816162109
1,1,C_M1_T1_7,img_1260.jpg,488.1370849609375,211.52023315429688
1,1,C_M1_T1_7,img_1305.jpg,516.0507202148438,195.9141540527344
1,1,C_M1_T1_7,img_1350.jpg,535.2828369140625,188.7662811279297
0,0,C_M1_T1_7,img_1395.jpg,533.5396118164062,255.83914184570312
1,1,C_M1_T1_7,img_1440.jpg,538.4803466796875,208.2378845214844
1,1,C_M1_T1_7,img_1485.jpg,507.230712890625,207.55162048339844
1,1,C_M1_T1_7,img_1530.jpg,459.7701721191406,173.97079467773438
1,1,C_M1_T1_7,img_1575.jpg,508.3208312988281,212.0826568603516
1,1,C_M1_T1_7,img_1620.jpg,480.9203796386719,292.5145263671875
1,1,C_M1_T1_7,img_1665.jpg,494.2625122070313,230.4224548339844
1,1,C_M1_T1_7,img_1710.jpg,498.53173828125,187.63839721679688
1,1,C_M1_T1_7,img_1755.jpg,513.1075439453125,232.67233276367188
0,0,C_M1_T1_7,img_1800.jpg,516.383544921875,242.09988403320312
1,1,C_M1_T1_7,img_1845.jpg,567.1357421875,200.25070190429688
1,1,C_M1_T1_7,img_1890.jpg,568.0863647460938,184.26681518554688
1,1,C_M1_T1_7,img_1935.jpg,550.34228515625,205.518310546875
1,1,C_M1_T1_7,img_1980.jpg,495.5379333496094,208.62228393554688
0,0,C_M1_T1_7,img_2025.jpg,503.4406433105469,215.59849548339844
1,1,C_M1_T1_7,img_2070.jpg,492.8771057128906,192.8144073486328
1,1,C_M1_T1_7,img_2115.jpg,520.3770751953125,220.095458984375
0,0,C_M1_T1_7,img_2160.jpg,476.5317077636719,215.85986328125
1,1,C_M1_T1_7,img_2205.jpg,533.1724853515625,179.4223175048828
1,1,C_M1_T1_7,img_2250.jpg,493.827880859375,192.75352478027344
1,1,C_M1_T1_7,img_2295.jpg,513.98291015625,193.64341735839844
1,1,C_M1_T1_7,img_2340.jpg,492.4047546386719,196.96604919433597
1,1,C_M1_T1_7,img_2385.jpg,490.0417785644531,261.4261779785156
